model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9599,0.9375,0.9808,0.7189,0.6490,0.7836,0.0008,0.0048,0.0004,
gradient_boosting,199364,85443,0.7767,0.7136,0.8342,0.5384,0.4549,0.6171,0.0019,0.0284,0.0016,
gradient_boosting_balanced,199364,85443,0.9216,0.8842,0.9544,0.7277,0.6500,0.7931,0.0025,0.0285,0.0249,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9306,0.8984,0.9607,0.1355,0.1082,0.1603,0.0214,0.1145,0.0689,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9740,0.9576,0.9888,0.8472,0.7933,0.8947,0.0004,0.0030,0.0003,interpretable baseline: EBM defaults
rulefit,199364,85443,0.9523,0.9256,0.9728,0.7697,0.7082,0.8300,0.0007,0.0069,0.0007,"rule baseline: RuleFit, max_rules=30, no linear terms; 28 rules selected"
pla_static,199364,85443,0.9645,0.9432,0.9821,0.6345,0.5470,0.7071,0.0020,0.0183,0.0137,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9581,0.9346,0.9792,0.5283,0.4508,0.6088,0.0018,0.0117,0.0021,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9601,0.9377,0.9798,0.4698,0.4010,0.5495,0.0018,0.0117,0.0021,ablation: context weights disabled
constant_prevalence,199364,85443,0.5000,0.5000,0.5000,0.0018,0.0015,0.0021,0.0018,0.0133,0.0001,predicts training prevalence 0.001690 everywhere
